claim_id,roadmap_scope,claiming_surface,entry_source,owner_crate,claimed_effect,actual_terminal_effect,artifact_family,physical_writer,reader,durability_boundary,reopen_source,independent_verifier,classification,path_kind,candidate_search,trace_locations,probe_command,observed_result,disposition,target_milestone,review_notes
"ordinary-facade-physical-open","S.1-S.9","worth_store public facade","workspaces/worth-store/crates/worth-store/src/physical_runtime/runtime.rs::AdmittedPhysicalRuntime::try_admit_filesystem_media","worth-store","open a physical Store from a stable root","consumes the exact C.3 runtime into one move-only qualified local-filesystem owner with a stable decoded identity, real OS mutation lease, root-specific profile, concrete capability handles, and explicit shutdown result","namespace identity;mutation lock","worth-store-physical-backend filesystem media owner","worth-store physical runtime observer","identity file state sync, atomic publication, directory sync, and created-root parent sync","filesystem namespace plus stable identity record","independent named OS observer target","real_production_physical_behavior","ordinary","rg -n 'try_admit_filesystem_media|FilesystemMediaOwner::qualify|MediaOwnedPhysicalRuntime' workspaces/worth-store/crates/worth-store/src workspaces/worth-store/crates/worth-store-physical-backend/src/filesystem_media","workspaces/worth-store/crates/worth-store/src/physical_runtime;workspaces/worth-store/crates/worth-store-physical-backend/src/filesystem_media","cargo test -p worth-store --test physical_media_journeys --features certification-test-authority","C.4 creates and reopens real identity bytes, excludes a second process, linearizes lease release, and releases ownership after process death","implemented","C.4","The product facade owns the sealed runtime and consuming phase progression; the backend exposes one narrow qualification seam but cannot mint or promote runtime authority."
"ordinary-facade-physical-mutation","S.1-S.9","worth_store public facade","workspaces/worth-store/crates/worth-store/src/physical_runtime/runtime.rs","worth-store","append read flush checkpoint recover compact and verify through one product runtime","exports admitted close abort observation and capability absence only; no physical artifact mutation method exists","none","none","none","none","none","none","explicitly_unavailable","ordinary","rg -n 'append|read|flush|checkpoint|recover|compact|verify' workspaces/worth-store/crates/worth-store/src/physical_runtime","workspaces/worth-store/crates/worth-store/src/physical_runtime/runtime.rs","cargo test -p worth-store --test physical_runtime_authority_ui","compiler boundary rejects admitted and observation mutation","connect_in_target_milestone","C.5","C.4 keeps artifact mutation absent; C.5 may add it only through the Store-owned sealed runtime and its narrow backend capability seam."
"physical-runtime-authority-clone","S.1","InMemoryPhysicalFormatModel","workspaces/worth-store/crates/worth-store-physical-format/src/in_memory_physical_format_model/storage/state.rs::InMemoryPhysicalFormatModel","worth-store-physical-format","sole physical runtime authority","cloneable heap state remains only as an honestly named in-memory format model and cannot satisfy PhysicalStore admission","none","none","model callers","none","cloned heap state","none","quarantined_false_claim","disconnected","rg -n 'derive.*Clone|struct InMemoryPhysicalFormatModel' workspaces/worth-store/crates/worth-store-physical-format/src","workspaces/worth-store/crates/worth-store-physical-format/src/in_memory_physical_format_model/storage/state.rs::InMemoryPhysicalFormatModel;workspaces/worth-store/crates/worth-store/tests/physical_runtime_authority/non_authority_values_cannot_admit.rs","cargo test -p worth-store --test physical_runtime_authority_ui","compiler permits cloning model data but rejects promotion into runtime authority","quarantine_outside_production","C.3","Resolved in C.3 by creating the move-only canonical runtime and removing every old runtime name and alias."
"physical-runtime-open-empty-heap","S.1","InMemoryPhysicalFormatModel::start_empty_model","workspaces/worth-store/crates/worth-store-physical-format/src/in_memory_physical_format_model/operation/restore.rs::start_empty_model","worth-store-physical-format","open the canonical physical format","constructs empty Vec and map model state after validating an S.1 digest handoff; accepts no store root and is not runtime admission","none","none","InMemoryPhysicalFormatModel","none","empty heap","none","quarantined_false_claim","disconnected","rg -n 'start_empty_model|InMemoryPhysicalFormatModelStorage::empty' workspaces/worth-store/crates/worth-store-physical-format/src","workspaces/worth-store/crates/worth-store-physical-format/src/in_memory_physical_format_model/operation/restore.rs::start_empty_model;workspaces/worth-store/crates/worth-store-physical-format/src/in_memory_physical_format_model/storage/model_storage.rs::empty","cargo test -p worth-store --test physical_runtime_authority_ui","model construction remains heap-only and compiler-ineligible for runtime promotion","quarantine_outside_production","C.3","Resolved as an authority conflict in C.3; C.5 decides which model algorithms survive behind real media."
"physical-runtime-page-append","S.1","InMemoryPhysicalFormatModel::append_physical_record page slot","workspaces/worth-store/crates/worth-store-physical-format/src/in_memory_physical_format_model/operation/append.rs::append_page_slot_record","worth-store-physical-format","append a framed page record physically","encodes bytes then replaces StoredPageBytes in a Vec and increments append/write counters","page","none","heap page access","none","live heap Vec","in-memory OfflinePhysicalVerifier over copied layout","production_in_memory_behavior","disconnected","rg -n 'append_physical_record|replace_page_payload' workspaces/worth-store/crates/worth-store-physical-format/src","workspaces/worth-store/crates/worth-store-physical-format/src/in_memory_physical_format_model/operation/append.rs::apply_page_slot_storage_mutation;workspaces/worth-store/crates/worth-store-physical-format/src/in_memory_physical_format_model/storage/model_storage.rs::replace_page_payload","not_required","encoded page bytes exist only in process memory","refactor_before_connection","C.5","The byte grammar is preservable; media execution is absent."
"physical-runtime-extent-append","S.1","InMemoryPhysicalFormatModel::append_physical_record extent","workspaces/worth-store/crates/worth-store-physical-format/src/in_memory_physical_format_model/operation/append.rs::append_extent_record","worth-store-physical-format","append an extent-backed record physically","encodes bytes then inserts or replaces StoredExtentBytes in a Vec and increments append/write counters","extent","none","heap extent access","none","live heap Vec","in-memory OfflinePhysicalVerifier over copied layout","production_in_memory_behavior","disconnected","rg -n 'append_extent_record|put_extent' workspaces/worth-store/crates/worth-store-physical-format/src","workspaces/worth-store/crates/worth-store-physical-format/src/in_memory_physical_format_model/operation/append.rs::apply_extent_storage_mutation;workspaces/worth-store/crates/worth-store-physical-format/src/in_memory_physical_format_model/storage/model_storage.rs::put_extent","not_required","encoded extent bytes exist only in process memory","refactor_before_connection","C.5","Extent framing is substrate but not persistence."
"physical-runtime-locate-read","S.1","InMemoryPhysicalFormatModel physical access handles","workspaces/worth-store/crates/worth-store-physical-format/src/in_memory_physical_format_model/operation/physical_access.rs","worth-store-physical-format","locate and read physical records","looks up Vec-backed page or extent bytes through an in-memory reference index","page;extent","none","runtime access handles","none","live heap collections","none","production_in_memory_behavior","disconnected","rg -n 'page_access|extent_access|page_for_reference|extent_for_reference' workspaces/worth-store/crates/worth-store-physical-format/src","workspaces/worth-store/crates/worth-store-physical-format/src/in_memory_physical_format_model/operation/physical_access.rs;workspaces/worth-store/crates/worth-store-physical-format/src/in_memory_physical_format_model/storage/model_storage.rs::page_for_reference","not_required","reads require the same live runtime or a supplied replay layout","refactor_before_connection","C.5","C.6 later routes ordinary access through bounded residency."
"physical-runtime-root-publication","S.1","InMemoryPhysicalFormatModel::publish_physical_root","workspaces/worth-store/crates/worth-store-physical-format/src/in_memory_physical_format_model/operation/root_publication.rs::publish_physical_root","worth-store-physical-format","flush and atomically rename a durable root","encodes manifest byte vectors into heap storage then increments flush and rename counters without media calls","root manifest;segment manifest;extent manifest;free space map","none","runtime scan and replay artifact","none","live heap manifest vectors","in-memory manifest verifier","production_in_memory_behavior","disconnected","rg -n 'publish_physical_root|with_flush|with_rename|replace_manifest_bytes' workspaces/worth-store/crates/worth-store-physical-format/src","workspaces/worth-store/crates/worth-store-physical-format/src/in_memory_physical_format_model/operation/root_publication.rs::publish_physical_root;workspaces/worth-store/crates/worth-store-physical-format/src/in_memory_physical_format_model/storage/model_storage.rs::replace_manifest_bytes","not_required","flush and rename counters increase but no filesystem API is reachable","refactor_before_connection","C.5","C.7 owns real root publication ordering after the media and record path exist."
"physical-runtime-layout-scan","S.1","InMemoryPhysicalFormatModel::scan_physical_layout","workspaces/worth-store/crates/worth-store-physical-format/src/in_memory_physical_format_model/operation/scan.rs::scan_physical_layout","worth-store-physical-format","verify and scan the physical store","materializes a complete PersistedPhysicalLayout from heap vectors and compares two views of the same runtime state","layout snapshot","none","certification and layout-index callers","none","copied heap layout","OfflinePhysicalVerifier sharing the supplied layout","production_in_memory_behavior","disconnected","rg -n 'scan_physical_layout|persisted_layout' workspaces/worth-store/crates/worth-store-physical-format/src","workspaces/worth-store/crates/worth-store-physical-format/src/in_memory_physical_format_model/operation/scan.rs::verify_persisted_layout_for_scan;workspaces/worth-store/crates/worth-store-physical-format/src/in_memory_physical_format_model/storage/model_storage.rs::persisted_layout","not_required","scan performs whole-layout allocation and no media read","quarantine_outside_production","C.5","May remain bounded offline/test representation only after ordinary path removal."
"physical-runtime-replay-reopen","S.1","InMemoryPhysicalFormatModel::restore","workspaces/worth-store/crates/worth-store-physical-format/src/in_memory_physical_format_model/operation/restore.rs::restore","worth-store-physical-format","reopen persisted physical bytes","consumes InMemoryPhysicalFormatReplayArtifact containing a cloned PersistedPhysicalLayout and reconstructs model storage only","all physical layout families","none","InMemoryPhysicalFormatModel","none","caller-supplied replay artifact","OfflinePhysicalVerifier over caller-supplied layout","quarantined_false_claim","disconnected","rg -n 'InMemoryPhysicalFormatReplayArtifact|PersistedPhysicalLayout|restore' workspaces/worth-store/crates/worth-store-physical-format/src","workspaces/worth-store/crates/worth-store-physical-format/src/in_memory_physical_format_model/operation/restore.rs::restore;workspaces/worth-store/crates/worth-store-physical-format/src/in_memory_physical_format_model/replay_artifact.rs;workspaces/worth-store/crates/worth-store/tests/physical_runtime_authority/non_authority_values_cannot_admit.rs","cargo test -p worth-store --test physical_runtime_authority_ui","restore needs supplied model state, discovers no files, and cannot satisfy canonical runtime admission","quarantine_outside_production","C.5/C.8","C.3 removed supplied replay from the authority path; C.5 and C.8 replace it with real reopen and recovery."
